Sr No.,Benchmark,Kernel Name,,C/M,grid_size,block_size,Total Threads,reg_thread,shmem_block,comp_inst_kernel,comp_inst_sm,comp_lat_sm,avg_comp_lat,glob_inst_kernel,glob_inst_sm,glob_lat_sm,avg_glob_lat,shar_inst_kernel,shar_inst_sm,shar_lat_sm,avg_shar_lat,misc_inst_kernel,misc_inst_sm,misc_lat_sm,avg_misc_lat,total_inst,branch,glob_load_sm,glob_store_sm,inst_issue_cycles,sm_active,waves,occupancy,wtotal,Global_Throughput,cache_penalty,sh_penalty,sh_throughput,n_warps,glb_penalty,Power,inst_issue_cycle
83,basic,vecoddmult,,,10240,256,2621440.0000,17,0,54,1960,28616,14.6,31,784,450094,574.0994898,0,0,0,0,0,6468,64680,10,9212,95,588,196,368480,256,788,1.0000,76.0000,14820.0916,47378.3158,0.0000,0.0000,320.0000,360587.1555,139.70342,
84,basic,vecoddmult,,,5120,1024,5242880.0000,17,0,54,3940,57524,14.6,31,1576,904781,574.0996193,0,0,0,0,0,13002,130020,10,18518,197,1182,394,1481440,1024,394,1.0000,151.0000,24866.1083,95870.8344,0.0000,0.0000,160.0000,864019.3422,132.91579,
85,basic,vecoddmult,,,10240,512,5242880.0000,17,0,54,3940,57524,14.6,31,1576,904781,574.0996193,0,0,0,0,0,13002,130020,10,18518,197,1182,394,1481440,512,788,1.0000,151.0000,24866.1083,95870.8344,0.0000,0.0000,320.0000,864019.3422,137.8893,
86,basic,vecoddmult,,,10240,1024,10485760.0000,17,0,54,7880,115048,14.6,31,3152,1809563,574.0999365,0,0,0,0,0,26004,260040,10,37036,394,2364,788,5925760,1024,788,1.0000,301.0000,40447.6972,192378.7907,0.0000,0.0000,320.0000,2124615.0217,131.40518,
87,BFS,BFSv1_1MWKernelP4Node,,C/M,2500,400,1000000.0000,16,0,38,1444,20634,14.28947368,18,418,199181.18,476.51,0,0,0,0,8,4978,49780,10,6840,190,304,114,104370,400,193,0.81,30.0000,9571.9061,20261.7574,0.0000,0.0000,78.1250,113547.8701,116.65109,
88,BFS,BFSv1_1MWKernelP4Node,,C/M,3907,256,1000192.0000,16,0,38,1444,20634,14.28947368,18,418,199179.1503,476.5051443,0,0,0,0,8,4978,49780,10,6840,190,304,114,104390,256,301,1,30.0000,9571.9061,20265.4412,0.0000,0.0000,122.0938,113595.1030,69.16224,
89,BFS,BFSv1_1MWKernelP4Node,,C/M,977,1024,1000448.0000,16,0,38,1444,20634,14.28947368,18,418,199176.4441,476.4986701,0,0,0,0,8,4978,49780,10,6840,190,304,114,104417,1024,76,1,30.0000,9571.9061,20270.3527,0.0000,0.0000,30.5313,113595.1030,68.16005,
90,BFS,BFSv1_4096KernelP4Node,,C/M,4,1024,4096.0000,16,0,38,38,543,14.28947368,18,11,2984.06768,271.27888,0,0,0,0,8,131,1310,10,180,5,8,3,11,1024,1,1,1.0000,3233.6149,37.3008,0.0000,0.0000,0.1250,36.7935,62.02207,
91,BFS,BFSv1_4096KernelP4Node,,C/M,16,256,4096.0000,16,0,38,38,543,14.28947368,18,11,2984.06768,271.27888,0,0,0,0,8,131,1310,10,180,5,8,3,11,256,2,1,1.0000,3233.6149,37.3008,0.0000,0.0000,0.5000,36.7935,62.01302,
92,BFS,BFSv1_4096KernelP4Node,,C/M,11,400,4400.0000,16,0,38,38,543,14.28947368,18,11,3000.052,272.732,0,0,0,0,8,131,1310,10,180,5,8,3,12,400,1,0.81,1.0000,3233.6149,40.2839,0.0000,0.0000,0.3438,40.4728,62.00705,
93,BFS,BFSv1_65536KernelP4Node,,C/M,64,1024,65536.0000,16,0,38,76,1086,14.28947368,18,22,7013.676877,318.8034944,0,0,0,0,8,262,2620,10,360,10,16,6,360,1024,5,1,3.0000,3412.2580,467.5785,0.0000,0.0000,2.0000,1101.8046,62.4201,
94,BFS,BFSv1_65536KernelP4Node,,C/M,256,256,65536.0000,16,0,38,114,1629,14.28947368,18,33,10520.51532,318.8034944,0,0,0,0,8,393,3930,10,540,15,24,9,540,256,20,1,3.0000,3590.4821,701.3677,0.0000,0.0000,8.0000,1570.6700,62.64959,
